IRIS,DISP_MED21
751155702,24190.0
751155703,28460.0
751155704,19100.0
751155705,26600.0
751155706,35530.0
751155707,29880.0
751155708,30500.0
751155709,34740.0
751155710,32340.0
751155711,34860.0
751155712,34020.0
751155713,41000.0
751155714,34180.0
751155715,31890.0
751155716,31130.0
751155717,32000.0
751155718,31940.0
751155719,33630.0
751155720,32510.0
751155721,37740.0
751155722,37940.0
751155723,37180.0
751155724,37890.0
751155725,39420.0
751155726,28910.0
751155727,27560.0
751155728,34930.0
751155729,38650.0
751155730,37960.0
751155731,28840.0
751155732,
751155733,
751155801,18490.0
751155802,21520.0
751155803,38960.0
751155804,40570.0
751155805,33500.0
751155806,35270.0
751155807,39480.0
751155808,41400.0
751155809,42190.0
751155810,29410.0
751155811,38770.0
751155812,44830.0
751155813,50030.0
751155814,39850.0
751155815,35120.0
751155816,40920.0
751155817,34900.0
751155818,
751155819,
751155901,34140.0
751155902,36750.0
751155903,33170.0
751155904,40580.0
751155905,37890.0
751155906,39290.0
751155907,31310.0
751155908,35630.0
751155909,34280.0
751155910,34620.0
751155911,38620.0
751155912,29550.0
751155913,47450.0
751155914,43270.0
751155915,35390.0
751155916,33850.0
751155917,37490.0
751155918,38300.0
751155919,32820.0
751155920,
751155999,
751156001,18460.0
751156002,37600.0
751156003,33060.0
751156004,31710.0
751156005,36540.0
751156006,31730.0
751156007,27160.0
751156008,26280.0
751156009,26220.0
751156010,27720.0
751156012,35720.0
751156013,36730.0
751156014,24580.0
751156015,28420.0
751156016,29370.0
751156017,31410.0
751156018,29910.0
751156019,37380.0
751156020,38550.0
751156021,
751156022,
751156023,
751156099,
751166101,22250.0
751166102,28220.0
751166103,30800.0
751166104,21470.0
751166105,35330.0
751166106,37900.0
751166107,39380.0
751166108,24530.0
751166109,42830.0
751166110,35430.0
751166111,45270.0
751166112,51290.0
751166113,43680.0
751166114,29680.0
751166115,34910.0
751166116,41830.0
751166117,43240.0
751166118,46240.0
751166119,45310.0
751166120,48390.0
751166121,32810.0
751166122,50840.0
751166123,52090.0
751166124,40830.0
751166125,47910.0
751166126,47900.0
751166127,36610.0
751166128,41900.0
751166129,34750.0
751166130,33350.0
751166131,
751166177,
751166199,
751166201,44870.0
751166202,43710.0
751166203,48400.0
751166204,50310.0
751166205,51830.0
751166206,49750.0
751166207,46420.0
751166208,59150.0
751166209,55160.0
751166210,52170.0
751166211,48120.0
751166212,42190.0
751166213,50280.0
751166214,47690.0
751166215,42870.0
751166216,48010.0
751166217,46740.0
751166218,44290.0
751166219,46480.0
751166220,43390.0
751166221,48570.0
751166222,
751166223,
751166277,
751166299,
751166301,40500.0
751166302,40430.0
751166303,49070.0
751166304,47410.0
751166305,36440.0
751166306,46350.0
751166307,47110.0
751166308,42650.0
751166309,48610.0
751166310,49320.0
751166311,44870.0
751166377,
751166401,42560.0
751166402,38450.0
751166403,42330.0
751166404,39530.0
751166405,43890.0
751166406,44670.0
751166407,43010.0
751166409,40540.0
751166410,
751166411,
751166412,
751166413,
751166499,
751176501,40300.0
751176502,53190.0
751176503,42330.0
751176504,44310.0
751176505,25660.0
751176506,38900.0
751176507,38970.0
751176508,50690.0
751176509,49890.0
751176510,41850.0
751176511,41480.0
751176512,40300.0
751176513,43450.0
751176514,42990.0
751176515,23230.0
751176516,
751176601,47090.0
751176602,44960.0
751176603,55690.0
751176604,46450.0
751176605,51870.0
751176606,56110.0
751176607,51940.0
751176608,62210.0
751176609,51380.0
751176610,51030.0
751176611,48250.0
751176612,49660.0
751176613,43050.0
751176614,24120.0
751176615,18250.0
751176616,17700.0
751176701,35100.0
751176702,38900.0
751176703,34510.0
751176704,37420.0
751176705,39040.0
751176706,40410.0
751176707,40480.0
751176708,36150.0
751176709,36050.0
751176710,38310.0
751176711,35580.0
751176712,40910.0
751176713,39790.0
751176714,21650.0
751176715,42180.0
751176716,33550.0
751176801,32330.0
751176802,36270.0
751176803,33910.0
751176804,33420.0
751176805,29450.0
751176806,25500.0
751176807,30770.0
751176808,29830.0
751176809,26330.0
751176810,33420.0
751176811,28680.0
751176812,24040.0
751176813,21160.0
751176814,20250.0
751176815,22050.0
751176816,16110.0
751176817,17400.0
751186901,30050.0
751186902,28000.0
751186903,32250.0
751186904,34870.0
751186905,30790.0
751186906,30420.0
751186907,31910.0
751186908,33120.0
751186909,32050.0
751186910,39090.0
751186911,44410.0
751186912,34530.0
751186913,32980.0
751186914,32360.0
751186915,28830.0
751186916,25650.0
751186917,32740.0
751186918,31560.0
751186919,30220.0
751186920,24730.0
751186921,25480.0
751186922,32650.0
751186923,23760.0
751186924,23280.0
751186925,18020.0
751186926,16170.0
751186927,14900.0
751186928,15130.0
751186929,
751187001,28200.0
751187002,31490.0
751187003,31900.0
751187004,32420.0
751187005,31130.0
